,Date,Tweets,Likes,Views,Hastags,Keywords,topics,Sentiment_score,Sentiment_label
37,2025-04-04T18:00:16.000Z,"Hey Friends how are you. .
I'm shailja. .
Do you know about the concept of Self? What is it and how does it help you in your personal growth? Please leave your answer in the comment section.
#selfgrowth
#trending #TrumpTariffs
#GoodBadUgly #stockmarketcrash #",0,0,"#selfgrowth, #trending, #TrumpTariffs, #GoodBadUgly, #stockmarketcrash","['Hey', 'Friends', 'Im', 'shailja', 'concept', 'Self', 'help', 'personal', 'growth', 'Please', 'leave', 'answer', 'comment', 'section']",0,0.8591,Positive
38,2025-04-04T18:00:00.000Z,"These butterfly-inspired earrings are adorned with dazzling stones, making them a timeless addition to your collection. Shine brighter than ever with elegance and charm! 
.
.
.
#auriefashion #fashion #trending #artificialjewellery",0,0,"#auriefashion, #fashion, #trending, #artificialjewellery","['butterflyinspired', 'earrings', 'adorn', 'dazzle', 'stone', 'timeless', 'addition', 'collection', 'Shine', 'brighter', 'ever', 'elegance', 'charm']",1,0.8481,Positive
39,2025-04-04T17:57:27.000Z,"Raveena Tandon Attends Laila Khan Furniture walla Solo Exhibition 
#RaveenaTandon #Bollywood #Bollywoodnews #lifestyle #entertainment #zoomnews #trending #fashion #photography #news #shorts",0,0,"#RaveenaTandon, #Bollywood, #Bollywoodnews, #lifestyle, #entertainment, #zoomnews, #trending, #fashion, #photography, #news, #shorts","['Raveena', 'Tandon', 'Attends', 'Laila', 'Khan', 'Furniture', 'walla', 'Solo', 'Exhibition']",0,0.4215,Positive
40,2025-04-04T17:56:52.000Z,"This GitHub repo is 2,022+ and trending !

therealgliz/blooket-hacks

Multiple game hacks to make the game easier to play!

https://github.com/therealgliz/blooket-hacks…

#github #trending",0,0,"#github, #trending","['GitHub', 'repo', '2022', 'therealglizblookethacks', 'Multiple', 'game', 'hack', 'easier', 'play']",-1,0.6369,Positive
41,2025-04-04T17:29:43.000Z,"Memory recreated 
..
#Ghiblistudio #Ghibli #Trending #Ghibli_Trend",0,0,"#Ghiblistudio, #Ghibli, #Trending, #Ghibli_Trend","['Memory', 'recreate']",-1,0.0,Neutral
42,2025-04-04T17:05:16.000Z,"#MoviebuffAIR: 24 movies releasing in theatres this week

#Saaree #Arya2 #Hunterr #Minecraft #MoviebuffAllIndiaRelease #MoviebuffCalender #MBCelebratingCinema #TamilCinema #TeluguCinema #Bollywood #TamilMovies #Kollywood #IndianCinema #Trending #NewReleases #TrendingMovies",0,0,"#MoviebuffAIR, #Saaree, #Arya2, #Hunterr, #Minecraft, #MoviebuffAllIndiaRelease, #MoviebuffCalender, #MBCelebratingCinema, #TamilCinema, #TeluguCinema, #Bollywood, #TamilMovies, #Kollywood, #IndianCinema, #Trending, #NewReleases, #TrendingMovies","['24', 'movies', 'release', 'theatres', 'week']",-1,0.0,Neutral
43,2025-04-04T16:54:35.000Z,"Pickle ball  Pickle call 

What a trending call 

#Trending #Pickles #phonecall #telugu",0,0,"#Trending, #Pickles, #phonecall, #telugu","['Pickle', 'ball', 'call']",-1,0.0,Neutral
44,2025-04-04T16:47:18.000Z,"Humble request 2 Hon'ble CM 
@Dev_Fadnavis
 saab pls look in this matter.Jai Hind sir  
@PMOIndia
 @mybmc
 @bjpmumbai
 @ShelarAshish
 @AmeetSatam
 @rohanrathodBJP
 @RavindraWaikar
 
#MumbaiRains #mumbairoad #mumbai #Maharashtra #Trending #TrendingNow #trend #mansoon",0,0,"#MumbaiRains, #mumbairoad, #mumbai, #Maharashtra, #Trending, #TrendingNow, #trend, #mansoon","['Humble', 'request', '2', 'Honble', 'CM', 'DevFadnavis', 'saab', 'pls', 'matterJai', 'Hind', 'sir', 'PMOIndia', 'mybmc', 'bjpmumbai', 'ShelarAshish', 'AmeetSatam', 'rohanrathodBJP', 'RavindraWaikar']",0,0.0772,Positive
45,2025-04-04T16:42:41.000Z,"Anyone who knows about  3d animator  DM please??

#3danimations #needhelp #world #latest #join #art #artist #yt #wantjob #trending #anyone #Groupchat #EarnMoney #jobless #unemployedagricgraduates #Grok #GrokAI",0,0,"#3danimations, #needhelp, #world, #latest, #join, #art, #artist, #yt, #wantjob, #trending, #anyone, #Groupchat, #EarnMoney, #jobless, #unemployedagricgraduates, #Grok, #GrokAI","['Anyone', '3', 'animator', 'DM']",0,0.5423,Positive
46,2025-04-04T16:41:11.000Z,"The elderly woman was allegedly thrashed by her daughter-in-law for refusing to go to an old age home. When her son intervened, she called her family members and had her husband beaten up.

#MP #MadhyaPradesh #Viral #Horror #Crime #Trending

https://news18.com/india/madhya-pradesh-horror-elderly-woman-son-thrashed-by-daughter-in-law-family-gwalior-cctv-police-ws-l-9287236.html…",1,1000,"#MP, #MadhyaPradesh, #Viral, #Horror, #Crime, #Trending","['elderly', 'woman', 'allegedly', 'thrash', 'daughterinlaw', 'refuse', 'old', 'age', 'home', 'son', 'intervene', 'call', 'family', 'members', 'husband', 'beat']",-1,-0.9136,Negative
